,episodes,baseline,ddqn,ppo
217,217,-0.39999999999999997,-1.95916726129786,0.9486741740866019
218,218,-0.39999999999999997,-1.9810613208254184,0.9796811602238062
219,219,-0.39999999999999997,-2.1390015298703164,1.0278230897762455
220,220,-0.39999999999999997,-2.0653076085233275,1.123288645970783
221,221,-0.39999999999999997,-2.0450397196789716,1.1825038917202804
222,222,-0.39999999999999997,-2.057860232738496,1.201042092360819
223,223,-0.39999999999999997,-2.0576206027096773,1.2385147814690363
224,224,-0.39999999999999997,-2.027777340907053,1.282847679606473
225,225,-0.39999999999999997,-2.031662926750295,1.2820789725009467
226,226,-0.39999999999999997,-2.0029748388281168,1.3410188292865075
227,227,-0.39999999999999997,-2.0214145600053963,1.3613765362283508
228,228,-0.39999999999999997,-2.030225857226321,1.3554229935005977
229,229,-0.39999999999999997,-2.0060006849470584,1.3449893462269922
230,230,-0.39999999999999997,-2.010960273242779,1.3301569586728272
231,231,-0.39999999999999997,-2.0663695446152475,1.3323272318247599
232,232,-0.39999999999999997,-2.1456055501094515,1.3466700399611387
233,233,-0.39999999999999997,-2.163771906916596,1.3514333477375158
234,234,-0.39999999999999997,-2.215467247865792,1.3787653954920376
235,235,-0.39999999999999997,-2.2657978778017167,1.378748885860696
236,236,-0.39999999999999997,-2.2286745775167613,1.4173496627416684
237,237,-0.39999999999999997,-2.2738400118526427,1.409253325670172
238,238,-0.39999999999999997,-2.2883472924352164,1.3929350416113193
239,239,-0.39999999999999997,-2.331585541112163,1.4211954175325505
240,240,-0.39999999999999997,-2.409331323393238,1.4130593185685216
241,241,-0.39999999999999997,-2.498020055333444,1.435568277261189
242,242,-0.39999999999999997,-2.504335807178458,1.4164343409353513
243,243,-0.39999999999999997,-2.554372760121311,1.4124119666478023
244,244,-0.39999999999999997,-2.5461184108013253,1.4962443524959466
245,245,-0.39999999999999997,-2.5036314455497903,1.5431642398769092
246,246,-0.39999999999999997,-2.4982968200941595,1.514444516150889
247,247,-0.39999999999999997,-2.593504866188169,1.4955226290334338
248,248,-0.39999999999999997,-2.661276896049413,1.4626025869941028
249,249,-0.39999999999999997,-2.6634167288964368,1.4551598970141157
250,250,-0.39999999999999997,-2.650433702301584,1.4698162857903814
251,251,-0.39999999999999997,-2.6476796494372667,1.4921892803244259
252,252,-0.39999999999999997,-2.674073012969335,1.508534900992248
253,253,-0.39999999999999997,-2.73523880101343,1.4925756109523314
254,254,-0.39999999999999997,-2.768730496360961,1.4774822185722494
255,255,-0.39999999999999997,-2.645603555314869,1.4805810756032374
256,256,-0.39999999999999997,-2.741905902340804,1.4845943959329577
257,257,-0.39999999999999997,-2.6855819881943255,1.4968928523829907
258,258,-0.39999999999999997,-2.8666368082623275,1.4825766599024817
259,259,-0.39999999999999997,-2.8262297521582043,1.4537171454903324
260,260,-0.39999999999999997,-2.922427936762974,1.455776962518548
261,261,-0.39999999999999997,-2.911467434960272,1.4478311814641756
262,262,-0.39999999999999997,-2.841151872691719,1.4478311814641756
263,263,-0.39999999999999997,-2.857932459402434,1.4267254577060038
264,264,-0.39999999999999997,-2.8380713576345658,1.4477051645875594
265,265,-0.39999999999999997,-2.9087436697372193,1.4309691557664135
266,266,-0.39999999999999997,-2.9107747219905007,1.4683290653227508
267,267,-0.39999999999999997,-3.008373479873973,1.4725421663463687
268,268,-0.39999999999999997,-3.0095282495461113,1.4868666597490625
269,269,-0.39999999999999997,-3.1035684010372573,1.5357662402167747
270,270,-0.39999999999999997,-3.086783758357054,1.590611136424797
271,271,-0.39999999999999997,-3.175384944386593,1.5518151263723132
272,272,-0.39999999999999997,-3.1875193873015437,1.5316456975461217
273,273,-0.39999999999999997,-3.425454216502199,1.4968262691018155
274,274,-0.39999999999999997,-3.3875162380669663,1.4437490001331128
275,275,-0.39999999999999997,-3.3391251423520196,1.4495141661277338
276,276,-0.39999999999999997,-3.3928839558101433,1.3982944384920435
277,277,-0.39999999999999997,-3.380112526554632,1.39414475850051
278,278,-0.39999999999999997,-3.3828620799357765,1.4431696486003043
279,279,-0.39999999999999997,-3.3310871097829433,1.464152054810784
280,280,-0.39999999999999997,-3.367593334295391,1.4396546433491844
281,281,-0.39999999999999997,-3.386454731208452,1.3922379596883163
282,282,-0.39999999999999997,-3.3968962000322063,1.4063332180752826
283,283,-0.39999999999999997,-3.3665120119878584,1.4144953337936863
284,284,-0.39999999999999997,-3.3976991203439053,1.438738123427331
285,285,-0.39999999999999997,-3.4159387938026624,1.4039320766540737
286,286,-0.39999999999999997,-3.4385561958600435,1.4118164387342889
287,287,-0.39999999999999997,-3.418652336103548,1.3593163342604486
288,288,-0.39999999999999997,-3.421518738512343,1.3588860158682254
289,289,-0.39999999999999997,-3.2532727991366004,1.4326104553739025
290,290,-0.39999999999999997,-3.244522243622471,1.4101611728792398
291,291,-0.39999999999999997,-3.362896480333301,1.3801578612245609
292,292,-0.39999999999999997,-3.3592855008585105,1.3679182289662521
293,293,-0.39999999999999997,-3.2900379442253613,1.386154129972166
294,294,-0.39999999999999997,-3.3102669886252922,1.3613718391283243
295,295,-0.39999999999999997,-3.323749993939693,1.3713655058492
296,296,-0.39999999999999997,-3.3889782317122177,1.400503111019077
297,297,-0.39999999999999997,-3.3923507899335585,1.3741538205783579
298,298,-0.39999999999999997,-3.435919351400729,1.3697442485978406
299,299,-0.39999999999999997,-3.4557535085169615,1.398701430123681
300,300,-0.39999999999999997,-3.4932073015919105,1.4155969653138158
301,301,-0.39999999999999997,-3.4503061476354486,1.4422703348351849
302,302,-0.39999999999999997,-3.467586056046102,1.4591394496933776
303,303,-0.39999999999999997,-3.4880671404006853,1.4954575495549025
304,304,-0.39999999999999997,-3.538169672243938,1.4663765247055007
305,305,-0.39999999999999997,-3.577163925976287,1.4556976081615638
306,306,-0.39999999999999997,-3.585107218928661,1.458014303469915
307,307,-0.39999999999999997,-3.597185092189508,1.4620063074863492
308,308,-0.39999999999999997,-3.5890098254818747,1.484762707566275
309,309,-0.39999999999999997,-3.6114050033525937,1.4576619322887954
310,310,-0.39999999999999997,-3.5392929381601976,1.4948640171725927
311,311,-0.39999999999999997,-3.524823341439706,1.4987572240294178
312,312,-0.39999999999999997,-3.45723949899574,1.5230665519787514
313,313,-0.39999999999999997,-3.4432554919820917,1.5168933396137885
314,314,-0.39999999999999997,-3.4031297195689683,1.497167611912375
315,315,-0.39999999999999997,-3.398767089226748,1.4746443402542122
316,316,-0.39999999999999997,-3.40550015456967,1.5154881923954306
317,317,-0.39999999999999997,-3.3708816053133615,1.5074054087027369
